,Source,Destination,Capacity,Airline
0,AER,KZN,50,2B
1,ASF,KZN,50,2B
2,ASF,MRV,50,2B
3,CEK,KZN,50,2B
4,CEK,OVB,50,2B
5,DME,KZN,50,2B
6,DME,NBC,50,2B
7,DME,TGK,50,2B
8,DME,UUA,50,2B
9,EGO,KGD,50,2B
10,EGO,KZN,50,2B
11,GYD,NBC,50,2B
12,KGD,EGO,50,2B
13,KZN,AER,50,2B
14,KZN,ASF,50,2B
15,KZN,CEK,50,2B
16,KZN,DME,50,2B
17,KZN,EGO,50,2B
18,KZN,LED,50,2B
19,KZN,SVX,50,2B
20,LED,KZN,50,2B
21,LED,NBC,50,2B
22,LED,UUA,50,2B
23,MRV,ASF,50,2B
24,NBC,DME,50,2B
25,NBC,GYD,50,2B
26,NBC,LED,50,2B
27,NBC,SVX,50,2B
28,NJC,SVX,50,2B
29,NJC,UUA,50,2B
30,NUX,SVX,50,2B
31,OVB,CEK,50,2B
32,OVB,SVX,50,2B
33,SVX,KZN,50,2B
34,SVX,NBC,50,2B
35,SVX,NJC,50,2B
36,SVX,NUX,50,2B
37,SVX,OVB,50,2B
38,TGK,DME,50,2B
39,UUA,DME,50,2B
40,UUA,LED,50,2B
41,UUA,NJC,50,2B
42,BTK,IKT,85.0,2G
43,BTK,OVB,85.0,2G
44,CEK,OVB,85.0,2G
45,HTA,IKT,44.0,2G
46,IKT,BTK,85.0,2G
47,IKT,HTA,44.0,2G
48,IKT,KCK,44.0,2G
49,IKT,ODO,44.0,2G
50,IKT,OVB,85.0,2G
51,IKT,UKX,44.0,2G
52,IKT,ULK,44.0,2G
53,IKT,YKS,85.0,2G
54,KCK,IKT,44.0,2G
55,MJZ,OVB,85.0,2G
56,ODO,IKT,44.0,2G
57,OVB,BTK,85.0,2G
58,OVB,CEK,85.0,2G
59,OVB,IKT,85.0,2G
60,UKX,IKT,44.0,2G
61,ULK,IKT,44.0,2G
62,YKS,IKT,85.0,2G
63,AYP,LIM,112,2I
64,CUZ,LIM,112,2I
65,CUZ,LIM,70,2I
66,CUZ,PEM,112,2I
67,HUU,LIM,70,2I
68,IQT,PCL,128,2I
69,IQT,TPP,112,2I
70,LIM,AYP,112,2I
71,LIM,CUZ,112,2I
72,LIM,CUZ,70,2I
73,LIM,HUU,70,2I
74,LIM,PCL,128,2I
75,LIM,PCL,70,2I
76,LIM,TPP,112,2I
77,LIM,TPP,70,2I
78,PCL,IQT,128,2I
79,PCL,LIM,128,2I
80,PCL,LIM,70,2I
81,PCL,TPP,70,2I
82,PEM,CUZ,112,2I
83,TPP,IQT,112,2I
84,TPP,LIM,112,2I
85,TPP,LIM,70,2I
86,TPP,PCL,70,2I
87,ABJ,BOY,70,2J
88,ABJ,OUA,70,2J
89,ABJ,OUA,70,2J
90,ABJ,OUA,139,2J
91,ACC,OUA,70,2J
92,BKO,ABJ,139,2J
93,BKO,DKR,139,2J
94,BKO,OUA,70,2J
95,BOY,ABJ,70,2J
96,BOY,OUA,70,2J
97,COO,LFW,139,2J
98,COO,OUA,139,2J
99,DKR,BKO,139,2J
100,DKR,OUA,139,2J
101,LFW,OUA,139,2J
102,LFW,OUA,70,2J
103,NIM,OUA,70,2J
104,OUA,ABJ,70,2J
105,OUA,ABJ,70,2J
106,OUA,ABJ,139,2J
107,OUA,ACC,70,2J
108,OUA,BKO,139,2J
109,OUA,BKO,70,2J
110,OUA,BOY,70,2J
111,OUA,COO,139,2J
112,OUA,DKR,139,2J
113,OUA,LFW,70,2J
114,OUA,NIM,70,2J
115,BOG,GYE,124,2K
116,BOG,UIO,124,2K
117,BOG,UIO,150,2K
118,CLO,GYE,124,2K
119,GYE,BOG,124,2K
120,GYE,CLO,124,2K
121,GYE,SCY,124,2K
122,GYE,SCY,150,2K
123,GYE,UIO,150,2K
124,GYE,UIO,124,2K
125,OCC,UIO,124,2K
126,SCY,GYE,124,2K
127,SCY,GYE,150,2K
128,UIO,BOG,124,2K
129,UIO,BOG,150,2K
130,UIO,GYE,124,2K
131,UIO,OCC,124,2K
132,BDS,ZRH,100,2L
133,BOD,ZRH,100,2L
134,BRS,ZRH,100,2L
135,GVA,LPA,124,2L
136,LCA,ZRH,124,2L
137,LPA,ZRH,124,2L
138,RMF,ZRH,124,2L
139,TFS,GVA,124,2L
140,ZRH,BDS,100,2L
141,ZRH,BOD,100,2L
142,ZRH,BRS,100,2L
143,ZRH,LCA,124,2L
144,ZRH,LPA,124,2L
145,ZRH,RMF,124,2L
146,AJR,LYC,68,2N
147,ARN,GEV,68,2N
148,ARN,HAD,37,2N
149,ARN,JKG,68,2N
150,ARN,JKG,37,2N
151,ARN,KRF,68,2N
152,ARN,KSD,37,2N
153,ARN,LYC,68,2N
154,ARN,MHQ,37,2N
155,ARN,OER,74,2N
156,ARN,POR,37,2N
157,ARN,TRF,37,2N
158,ARN,VBY,37,2N
159,ARN,VBY,68,2N
160,ARN,VHM,37,2N
161,ARN,VXO,37,2N
162,GEV,ARN,68,2N
163,GEV,KRF,68,2N
164,HAD,ARN,37,2N
165,HAD,ARN,68,2N
166,HAD,JKG,68,2N
167,HAD,JKG,37,2N
168,HAD,VXO,37,2N
169,HMV,VHM,37,2N
170,JKG,ARN,68,2N
171,JKG,ARN,37,2N
172,JKG,HAD,68,2N
173,JKG,HAD,37,2N
174,KOK,POR,37,2N
175,KRF,ARN,68,2N
176,KRF,GEV,68,2N
177,KSD,ARN,37,2N
178,LYC,AJR,68,2N
179,LYC,ARN,68,2N
180,MHQ,ARN,37,2N
181,MHQ,TKU,37,2N
182,OER,ARN,74,2N
183,OSL,VXO,37,2N
184,POR,ARN,37,2N
185,POR,KOK,37,2N
186,TKU,MHQ,37,2N
187,TRF,ARN,37,2N
188,VBY,ARN,37,2N
189,VBY,ARN,68,2N
190,VHM,ARN,37,2N
191,VHM,HMV,37,2N
192,VXO,ARN,37,2N
193,VXO,OSL,37,2N
194,ADQ,AOS,9.0,2O
195,ADQ,KKB,9.0,2O
196,ADQ,KLN,9.0,2O
197,ADQ,KOZ,9.0,2O
198,ADQ,OLH,9.0,2O
199,AOS,KZB,9.0,2O
200,KKB,SYB,9.0,2O
201,KLN,KYK,9.0,2O
202,KOZ,ORI,9.0,2O
203,SYB,KPR,9.0,2O
204,BSO,MNL,70,2P
205,BXU,MNL,150,2P
206,CBO,MNL,150,2P
207,CGY,MNL,150,2P
208,CRM,MNL,70,2P
209,DGT,MNL,150,2P
210,DWC,MNL,293,2P
211,GES,MNL,150,2P
212,KLO,MNL,150,2P
213,LGP,MNL,150,2P
214,MNL,BSO,70,2P
215,MNL,BXU,150,2P
216,MNL,CBO,150,2P
217,MNL,CGY,150,2P
218,MNL,CRM,70,2P
219,MNL,DGT,150,2P
220,MNL,DWC,293,2P
221,MNL,GES,150,2P
222,MNL,KLO,150,2P
223,MNL,LGP,150,2P
224,MNL,MPH,50,2P
225,MNL,OZC,150,2P
226,MNL,PPS,150,2P
227,MNL,RXS,150,2P
228,MNL,SUG,70,2P
229,MNL,TUG,70,2P
230,MNL,ZAM,150,2P
231,MPH,MNL,50,2P
232,OZC,MNL,150,2P
233,PPS,MNL,150,2P
234,RXS,MNL,150,2P
235,SUG,MNL,70,2P
236,TUG,MNL,70,2P
237,ZAM,MNL,150,2P
238,AUX,PMW,74,2Z
239,BRA,BSB,74,2Z
240,BRA,SSA,74,2Z
241,BSB,BRA,74,2Z
242,BSB,OPS,74,2Z
243,BSB,RAO,74,2Z
244,CAC,GRU,74,2Z
245,CGB,GYN,74,2Z
246,CGB,OPS,74,2Z
247,CGR,DOU,74,2Z
248,DOU,CGR,74,2Z
249,DOU,GRU,74,2Z
250,GIG,RAO,74,2Z
251,GRU,CAC,74,2Z
252,GRU,DOU,74,2Z
253,GRU,RAO,74,2Z
254,GRU,UBA,74,2Z
255,GRU,UDI,74,2Z
256,GRU,VDC,74,2Z
257,GYN,CGB,74,2Z
258,GYN,PMW,74,2Z
259,GYN,RAO,74,2Z
260,GYN,UDI,74,2Z
261,OPS,BSB,74,2Z
262,OPS,CGB,74,2Z
263,PLU,RAO,74,2Z
264,PMW,AUX,74,2Z
265,PMW,GYN,74,2Z
266,RAO,BSB,74,2Z
267,RAO,GIG,74,2Z
268,RAO,GRU,74,2Z
269,RAO,GYN,74,2Z
270,RAO,PLU,74,2Z
271,RAO,SJP,74,2Z
272,RAO,UDI,74,2Z
273,SJP,RAO,74,2Z
274,SSA,BRA,74,2Z
275,SSA,VDC,74,2Z
276,UBA,GRU,74,2Z
277,UBA,UDI,74,2Z
278,UDI,GRU,74,2Z
279,UDI,GYN,74,2Z
280,UDI,RAO,74,2Z
281,UDI,UBA,74,2Z
282,VDC,GRU,74,2Z
283,VDC,SSA,74,2Z
284,BRL,ORD,19.0,3E
285,BRL,STL,19.0,3E
286,DEC,ORD,19.0,3E
287,DEC,STL,19.0,3E
288,JBR,STL,19.0,3E
289,ORD,BRL,19.0,3E
290,ORD,DEC,19.0,3E
291,STL,BRL,19.0,3E
292,STL,DEC,19.0,3E
293,STL,JBR,19.0,3E
294,CGA,HYL,6.0,3F
295,CGA,KTN,6.0,3F
296,HYL,CGA,6.0,3F
297,HYL,KTB,6.0,3F
298,HYL,KTN,6.0,3F
299,KTB,HYL,6.0,3F
300,KTB,KTN,6.0,3F
301,KTN,CGA,6.0,3F
302,KTN,HYL,6.0,3F
303,KTN,KTB,6.0,3F
304,KTN,MTM,6.0,3F
305,MTM,KTN,6.0,3F
306,ACC,DKR,124,3G
307,ACC,LOS,124,3G
308,ACC,ROB,124,3G
309,BCN,BJL,124,3G
310,BJL,BCN,124,3G
311,BJL,DKR,124,3G
312,BJL,FNA,124,3G
313,CKY,OXB,124,3G
314,DKR,ACC,124,3G
315,DKR,BJL,124,3G
316,DKR,DLA,124,3G
317,DKR,FNA,124,3G
318,DKR,LOS,124,3G
319,DKR,OXB,124,3G
320,DLA,DKR,124,3G
321,DLA,LOS,124,3G
322,FNA,BJL,124,3G
323,FNA,DKR,124,3G
324,FNA,LGW,124,3G
325,FNA,ROB,124,3G
326,LGW,FNA,124,3G
327,LOS,ACC,124,3G
328,LOS,DKR,124,3G
329,LOS,DLA,124,3G
330,LOS,ROB,124,3G
331,OXB,CKY,124,3G
332,OXB,DKR,124,3G
333,ROB,ACC,124,3G
334,ROB,FNA,124,3G
335,ROB,LOS,124,3G
336,AKV,YIK,50,3H
337,AKV,YPX,50,3H
338,XGR,YVP,20.0,3H
339,XGR,YVP,1.0,3H
340,YGL,YGW,20.0,3H
341,YGL,YPX,161.5,3H
342,YGL,YUL,161.5,3H
343,YGW,YGL,20.0,3H
344,YGW,YPH,1.0,3H
345,YGW,YSK,50,3H
346,YGW,YUD,50,3H
347,YGW,YUL,50,3H
348,YGW,YUY,50,3H
349,YIK,AKV,50,3H
350,YIK,YZG,50,3H
351,YKG,YPJ,20.0,3H
352,YKG,YPJ,50,3H
353,YKG,YQC,50,3H
354,YKG,YVP,50,3H
355,YKG,YVP,20.0,3H
356,YKL,YQB,50,3H
357,YKL,YVP,50,3H
358,YKL,YVP,1.0,3H
359,YKL,YWK,1.0,3H
360,YKL,YZV,1.0,3H
361,YKL,YZV,50,3H
362,YPH,YPX,50,3H
363,YPH,YPX,1.0,3H
364,YPH,YUD,50,3H
365,YPH,YVP,1.0,3H
366,YPJ,YKG,20.0,3H
367,YPJ,YKG,50,3H
368,YPJ,YTQ,20.0,3H
369,YPJ,YTQ,50,3H
370,YPJ,YVP,20.0,3H
371,YPX,AKV,50,3H
372,YPX,YGL,161.5,3H
373,YPX,YPH,50,3H
374,YPX,YVP,1.0,3H
375,YQB,YKL,50,3H
376,YQB,YUL,50,3H
377,YQC,YKG,50,3H
378,YQC,YWB,50,3H
379,YSK,YGW,50,3H
380,YSK,YUD,50,3H
381,YTQ,YPJ,20.0,3H
382,YTQ,YPJ,50,3H
383,YTQ,YVP,20.0,3H
384,YTQ,YVP,50,3H
385,YUD,YGW,50,3H
386,YUD,YPH,50,3H
387,YUD,YSK,50,3H
388,YUL,YGL,161.5,3H
389,YUL,YGW,50,3H
390,YUL,YQB,50,3H
391,YUL,YUY,50,3H
392,YUY,YGW,50,3H
393,YUY,YUL,50,3H
394,YVP,XGR,20.0,3H
395,YVP,XGR,1.0,3H
396,YVP,YGW,1.0,3H
397,YVP,YKG,50,3H
398,YVP,YKL,50,3H
399,YVP,YKL,1.0,3H
400,YVP,YPH,1.0,3H
401,YVP,YPJ,20.0,3H
402,YVP,YPX,1.0,3H
403,YVP,YTQ,20.0,3H
404,YVP,YTQ,50,3H
405,YWB,YQC,50,3H
406,YWB,YZG,50,3H
407,YWK,YKL,1.0,3H
408,YWK,YZV,1.0,3H
409,YZG,YIK,50,3H
410,YZG,YWB,50,3H
411,YZV,YKL,1.0,3H
412,YZV,YKL,50,3H
413,YZV,YWK,1.0,3H
414,JIB,DXB,126,3J
415,JIB,JED,126,3J
416,JIB,MGQ,126,3J
417,MGQ,NBO,126,3J
418,NBO,MGQ,126,3J
419,BKK,SIN,150,3K
420,DRW,SIN,150,3K
421,HAK,SIN,150,3K
422,HGH,SIN,150,3K
423,HKG,SIN,150,3K
424,HKT,SIN,150,3K
425,KIX,MNL,150,3K
426,KIX,TPE,150,3K
427,KUL,SIN,150,3K
428,MNL,KIX,150,3K
429,MNL,SIN,150,3K
430,PEN,SIN,150,3K
431,PER,SIN,150,3K
432,PNH,SIN,150,3K
433,REP,SIN,150,3K
434,RGN,SIN,150,3K
435,SGN,SIN,150,3K
436,SIN,BKK,150,3K
437,SIN,DRW,150,3K
438,SIN,HAK,150,3K
439,SIN,HGH,150,3K
440,SIN,HKG,150,3K
441,SIN,HKT,150,3K
442,SIN,KUL,150,3K
443,SIN,MNL,150,3K
444,SIN,PEN,150,3K
445,SIN,PER,150,3K
446,SIN,PNH,150,3K
447,SIN,REP,150,3K
448,SIN,RGN,150,3K
449,SIN,SGN,150,3K
450,SIN,SWA,150,3K
451,SIN,TPE,150,3K
452,SWA,SIN,150,3K
453,TPE,KIX,150,3K
454,TPE,SIN,150,3K
455,ACH,EBA,50,3L
456,DRS,ZRH,50,3L
457,DUS,FDH,50,3L
458,EBA,ACH,50,3L
459,EBA,FDH,50,3L
460,EBA,MUC,50,3L
461,EBA,ZRH,50,3L
462,FDH,DUS,50,3L
463,FDH,EBA,50,3L
464,FDH,HAM,74,3L
465,FDH,OLB,74,3L
466,FDH,TXL,74,3L
467,FDH,ZAD,74,3L
468,FMM,NAP,74,3L
469,GRZ,ZRH,50,3L
470,HAM,FDH,74,3L
471,MUC,EBA,50,3L
472,NAP,FMM,74,3L
473,OLB,FDH,74,3L
474,SZG,ZRH,50,3L
475,TXL,FDH,74,3L
476,ZAD,FDH,74,3L
477,ZRH,DRS,50,3L
478,ZRH,EBA,50,3L
479,ZRH,GRZ,50,3L
480,ZRH,SZG,50,3L
481,ATL,LWB,37,3M
482,ATL,MCN,37,3M
483,ATL,MEI,37,3M
484,ATL,MSL,37,3M
485,ATL,PIB,37,3M
486,ATL,TUP,37,3M
487,BIM,FLL,37,3M
488,ELH,FLL,37,3M
489,ELH,PBI,37,3M
490,EYW,FLL,37,3M
491,EYW,RSW,37,3M
492,EYW,TPA,37,3M
493,FLL,BIM,37,3M
494,FLL,ELH,37,3M
495,FLL,EYW,37,3M
496,FLL,FPO,37,3M
497,FLL,GGT,37,3M
498,FLL,GHB,37,3M
499,FLL,MCO,37,3M
500,FLL,MHH,37,3M
501,FLL,TCB,37,3M
502,FLL,TPA,37,3M
503,FPO,FLL,37,3M
504,GGT,FLL,37,3M
505,GGT,GHB,37,3M
506,GHB,FLL,37,3M
507,GLH,TUP,37,3M
508,GNV,MCO,37,3M
509,GNV,TPA,37,3M
510,JAX,MHH,37,3M
511,JAX,TPA,37,3M
512,LWB,ATL,37,3M
513,MCN,ATL,37,3M
514,MCN,MCO,37,3M
515,MCO,FLL,37,3M
516,MCO,GNV,37,3M
517,MCO,MCN,37,3M
518,MCO,MHH,37,3M
519,MCO,PNS,37,3M
520,MCO,RSW,37,3M
521,MCO,TLH,37,3M
522,MEI,ATL,37,3M
523,MHH,FLL,37,3M
524,MHH,JAX,37,3M
525,MHH,MCO,37,3M
526,MHH,PBI,37,3M
527,MSL,ATL,37,3M
528,PBI,ELH,37,3M
529,PBI,MHH,37,3M
530,PBI,TPA,37,3M
531,PIB,ATL,37,3M
532,PNS,MCO,37,3M
533,PNS,TPA,37,3M
534,RSW,EYW,37,3M
535,RSW,MCO,37,3M
536,TCB,FLL,37,3M
537,TLH,MCO,37,3M
538,TLH,TPA,37,3M
539,TPA,EYW,37,3M
540,TPA,FLL,37,3M
541,TPA,GNV,37,3M
542,TPA,JAX,37,3M
543,TPA,PBI,37,3M
544,TPA,PNS,37,3M
545,TPA,TLH,37,3M
546,TUP,ATL,37,3M
547,TUP,GLH,37,3M
548,AMS,NDR,150,3O
549,AMS,TNG,150,3O
550,BCN,CMN,150,3O
551,BCN,NDR,150,3O
552,BCN,TNG,150,3O
553,BGY,CMN,150,3O
554,BLQ,CMN,150,3O
555,BRU,CMN,150,3O
556,BRU,NDR,150,3O
557,BRU,TNG,150,3O
558,CGN,NDR,150,3O
559,CMN,BCN,150,3O
560,CMN,BGY,150,3O
561,CMN,BLQ,150,3O
562,CMN,BRU,150,3O
563,CMN,CUF,150,3O
564,CMN,LGW,150,3O
565,CMN,LYS,150,3O
566,CMN,MPL,150,3O
567,CMN,SAW,150,3O
568,CMN,TLS,150,3O
569,CMN,TSF,150,3O
570,CUF,CMN,150,3O
571,FEZ,MPL,150,3O
572,LGW,CMN,150,3O
573,LGW,TNG,150,3O
574,LYS,CMN,150,3O
575,MPL,CMN,150,3O
576,MPL,FEZ,150,3O
577,MPL,NDR,150,3O
578,NDR,AMS,150,3O
579,NDR,BCN,150,3O
580,NDR,BRU,150,3O
581,NDR,CGN,150,3O
582,NDR,MPL,150,3O
583,NDR,PMI,150,3O
584,PMI,NDR,150,3O
585,SAW,CMN,150,3O
586,TLS,CMN,150,3O
587,TNG,AMS,150,3O
588,TNG,BCN,150,3O
589,TNG,BRU,150,3O
590,TNG,LGW,150,3O
591,TSF,CMN,150,3O
592,AUA,LSP,36,3P
593,AUA,MAR,36,3P
594,BON,CUR,36,3P
595,CUR,AUA,36,3P
596,LSP,AUA,36,3P
597,MAR,AUA,36,3P
598,ASF,DME,1.0,3R
599,ASF,LED,1.0,3R
600,BHK,DME,146,3R
601,DME,ASF,1.0,3R
602,DME,BHK,146,3R
603,DME,EGO,1.0,3R
604,DME,FEG,146,3R
605,DME,KSQ,146,3R
606,DME,NMA,146,3R
607,DME,NVI,146,3R
608,DME,SKD,146,3R
609,DME,TIV,1.0,3R
610,DME,TIV,126,3R
611,EGO,DME,1.0,3R
612,FEG,DME,146,3R
613,KSQ,DME,146,3R
614,LED,ASF,1.0,3R
615,NMA,DME,146,3R
616,NVI,DME,146,3R
617,SKD,DME,146,3R
618,TIV,DME,1.0,3R
619,TIV,DME,126,3R
620,ANU,PTP,50,3S
621,CAY,FDF,150,3S
622,CUR,SDQ,50,3S
623,DOM,PTP,50,3S
624,DOM,SXM,50,3S
625,FDF,CAY,150,3S
626,FDF,PTP,50,3S
627,FDF,PTP,150,3S
628,FDF,SDQ,50,3S
629,FDF,SLU,50,3S
630,PTP,ANU,50,3S
631,PTP,DOM,50,3S
632,PTP,FDF,50,3S
633,PTP,FDF,150,3S
634,PTP,SBH,20.0,3S
635,PTP,SDQ,50,3S
636,PTP,SFG,50,3S
637,PTP,SXM,50,3S
638,SBH,PTP,20.0,3S
639,SDQ,PTP,50,3S
640,SDQ,SXM,50,3S
641,SFG,PTP,50,3S
642,SLU,FDF,50,3S
643,SXM,DOM,50,3S
644,SXM,PTP,50,3S
645,SXM,SDQ,50,3S
646,BHY,XIY,186,3U
647,CAN,CKG,186,3U
648,CAN,CKG,150,3U
649,CAN,CTU,186,3U
650,CAN,CTU,150,3U
651,CAN,CTU,293,3U
652,CAN,SPN,293,3U
653,CGO,CGQ,186,3U
654,CGO,CKG,186,3U
655,CGO,CTU,186,3U
656,CGO,HGH,150,3U
657,CGO,HRB,150,3U
658,CGO,KMG,150,3U
659,CGO,URC,150,3U
660,CGQ,CGO,186,3U
661,CGQ,NKG,150,3U
662,CGQ,TNA,186,3U
663,CGQ,TSN,150,3U
664,CGQ,TSN,124,3U
665,CKG,CAN,186,3U
666,CKG,CAN,150,3U
667,CKG,CGO,186,3U
668,CKG,CSX,124,3U
669,CKG,CSX,186,3U
670,CKG,CTU,293,3U
671,CKG,CZX,150,3U
672,CKG,DLC,150,3U
673,CKG,DYG,150,3U
674,CKG,HAK,124,3U
675,CKG,HGH,150,3U
676,CKG,HGH,124,3U
677,CKG,HKT,186,3U
678,CKG,INC,186,3U
679,CKG,KHN,124,3U
680,CKG,KMG,124,3U
681,CKG,KMG,150,3U
682,CKG,LHW,124,3U
683,CKG,LHW,186,3U
684,CKG,LJG,124,3U
685,CKG,LXA,124,3U
686,CKG,NGB,124,3U
687,CKG,NKG,124,3U
688,CKG,NNG,124,3U
689,CKG,PEK,186,3U
690,CKG,PEK,124,3U
691,CKG,PEK,150,3U
692,CKG,PVG,150,3U
693,CKG,PVG,124,3U
694,CKG,PZI,124,3U
695,CKG,SWA,124,3U
696,CKG,SYD,293,3U
697,CKG,SYX,150,3U
698,CKG,SZX,150,3U
699,CKG,TNA,186,3U
700,CKG,TSA,150,3U
701,CKG,TSN,124,3U
702,CKG,TYN,186,3U
703,CKG,URC,150,3U
704,CKG,WUH,124,3U
705,CKG,WUX,124,3U
706,CKG,XIY,124,3U
707,CKG,XNN,150,3U
708,CKG,YIH,124,3U
709,CKG,ZHA,124,3U
710,CSX,CKG,124,3U
711,CSX,CKG,186,3U
712,CSX,CTU,150,3U
713,CSX,FOC,150,3U
714,CSX,KMG,150,3U
715,CSX,SHE,150,3U
716,CSX,WNZ,124,3U
717,CSX,XMN,186,3U
718,CTU,CAN,186,3U
719,CTU,CAN,150,3U
720,CTU,CAN,293,3U
721,CTU,CGO,186,3U
722,CTU,CKG,293,3U
723,CTU,CSX,150,3U
724,CTU,DCY,124,3U
725,CTU,DSN,124,3U
726,CTU,HAK,186,3U
727,CTU,HDG,124,3U
728,CTU,HET,150,3U
729,CTU,HFE,186,3U
730,CTU,HGH,150,3U
731,CTU,HGH,124,3U
732,CTU,HKG,150,3U
733,CTU,HKT,186,3U
734,CTU,ICN,186,3U
735,CTU,INC,186,3U
736,CTU,JHG,124,3U
737,CTU,JIQ,150,3U
738,CTU,JZH,124,3U
739,CTU,KHN,186,3U
740,CTU,KMG,150,3U
741,CTU,KOW,150,3U
742,CTU,KWE,150,3U
743,CTU,LHW,124,3U
744,CTU,LJG,124,3U
745,CTU,LUM,124,3U
746,CTU,LXA,293,3U
747,CTU,LXA,124,3U
748,CTU,LZY,124,3U
749,CTU,MEL,293,3U
750,CTU,NKG,124,3U
751,CTU,NKG,150,3U
752,CTU,NNG,124,3U
753,CTU,NNG,150,3U
754,CTU,PEK,293,3U
755,CTU,PEK,186,3U
756,CTU,PEK,150,3U
757,CTU,PVG,186,3U
758,CTU,PVG,293,3U
759,CTU,PZI,124,3U
760,CTU,SHE,293,3U
761,CTU,SJW,150,3U
762,CTU,SYX,186,3U
763,CTU,SZX,150,3U
764,CTU,SZX,186,3U
765,CTU,TAO,186,3U
766,CTU,TNA,186,3U
767,CTU,TSA,150,3U
768,CTU,TSN,186,3U
769,CTU,TYN,124,3U
770,CTU,URC,124,3U
771,CTU,URC,293,3U
772,CTU,WNZ,150,3U
773,CTU,WUH,124,3U
774,CTU,WUX,150,3U
775,CTU,WXN,124,3U
776,CTU,XIC,150,3U
777,CTU,XIY,150,3U
778,CTU,XIY,124,3U
779,CTU,XMN,150,3U
780,CTU,XNN,150,3U
781,CTU,XUZ,150,3U
782,CTU,YIH,150,3U
783,CTU,YTY,124,3U
784,CZX,CKG,150,3U
785,CZX,HRB,186,3U
786,CZX,XMN,186,3U
787,CZX,ZUH,150,3U
788,DAT,TYN,124,3U
789,DCY,CTU,124,3U
790,DLC,CKG,150,3U
791,DLC,HGH,150,3U
792,DLC,HRB,150,3U
793,DLC,TNA,186,3U
794,DLC,XUZ,150,3U
795,DNH,LHW,124,3U
796,DSN,CTU,124,3U
797,DSN,SHE,124,3U
798,DYG,CKG,150,3U
799,DYG,NKG,124,3U
800,FOC,CSX,150,3U
801,FOC,XIY,124,3U
802,GXH,LXA,124,3U
803,GXH,XIY,124,3U
804,HAK,CKG,124,3U
805,HAK,CTU,186,3U
806,HAK,HGH,150,3U
807,HAK,NGB,186,3U
808,HAK,ZUH,150,3U
809,HDG,CTU,124,3U
810,HET,CTU,150,3U
811,HFE,CTU,186,3U
812,HGH,CGO,150,3U
813,HGH,CKG,150,3U
814,HGH,CKG,124,3U
815,HGH,CTU,124,3U
816,HGH,CTU,150,3U
817,HGH,DLC,150,3U
818,HGH,HAK,150,3U
819,HGH,KWE,150,3U
820,HGH,TSN,150,3U
821,HGH,TYN,150,3U
822,HKG,CTU,150,3U
823,HKG,YIH,150,3U
824,HKG,ZHA,124,3U
825,HKT,CKG,186,3U
826,HKT,CTU,186,3U
827,HRB,CGO,150,3U
828,HRB,CZX,186,3U
829,HRB,DLC,150,3U
830,HRB,INC,186,3U
831,HRB,NGB,186,3U
832,HRB,NKG,124,3U
833,HRB,NZH,186,3U
834,HRB,SJW,186,3U
835,HRB,TNA,150,3U
836,HRB,TNA,186,3U
837,HRB,TSN,186,3U
838,HRB,WNZ,186,3U
839,HRB,WUH,186,3U
840,HRB,XIY,186,3U
841,HRB,XUZ,150,3U
842,HRB,XUZ,186,3U
843,ICN,CTU,186,3U
844,INC,CKG,186,3U
845,INC,CTU,186,3U
846,INC,HRB,186,3U
847,INC,KWL,150,3U
848,JGN,LHW,124,3U
849,JHG,CTU,124,3U
850,JHG,KMG,124,3U
851,JIQ,CTU,150,3U
852,JJN,KWE,150,3U
853,JJN,WUH,124,3U
854,JZH,CTU,124,3U
855,KHG,URC,124,3U
856,KHN,CKG,124,3U
857,KHN,CTU,186,3U
858,KHN,KMG,124,3U
859,KHN,NGB,186,3U
860,KMG,CGO,150,3U
861,KMG,CKG,124,3U
862,KMG,CKG,150,3U
863,KMG,CSX,150,3U
864,KMG,CTU,150,3U
865,KMG,JHG,124,3U
866,KMG,KHN,124,3U
867,KMG,KWE,150,3U
868,KMG,LUM,124,3U
869,KMG,NGB,150,3U
870,KMG,NKG,150,3U
871,KMG,TAO,150,3U
872,KMG,TNA,150,3U
873,KMG,TPE,150,3U
874,KMG,WXN,150,3U
875,KMG,XIY,150,3U
876,KMG,XMN,150,3U
877,KMG,XUZ,150,3U
878,KOW,CTU,150,3U
879,KOW,XMN,150,3U
880,KWE,CTU,150,3U
881,KWE,HGH,150,3U
882,KWE,JJN,150,3U
883,KWE,KMG,150,3U
884,KWE,LHW,186,3U
885,KWE,SYX,186,3U
886,KWE,WNZ,150,3U
887,KWE,XUZ,186,3U
888,KWL,INC,150,3U
889,KWL,SJW,186,3U
890,KWL,SYX,150,3U
891,LHW,CKG,124,3U
892,LHW,CKG,186,3U
893,LHW,CTU,124,3U
894,LHW,DNH,124,3U
895,LHW,JGN,124,3U
896,LHW,KWE,186,3U
897,LHW,TSN,186,3U
898,LJG,CKG,124,3U
899,LJG,CTU,124,3U
900,LJG,MIG,124,3U
901,LUM,CTU,124,3U
902,LUM,KMG,124,3U
903,LXA,CKG,124,3U
904,LXA,CTU,293,3U
905,LXA,CTU,124,3U
906,LXA,GXH,124,3U
907,LXA,XIY,124,3U
908,LXA,XNN,124,3U
909,LYI,XIY,124,3U
910,LYI,XIY,150,3U
911,LZY,CTU,124,3U
912,MEL,CTU,293,3U
913,MIG,LJG,124,3U
